"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sassafras","Sassafras albidum","Alabama","Lawrence","Indian Tomb Hollow","","","181,230 acres in the Bankhead National Forest","","233722","1","","","","Public - federal","87.5'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Sassafras","Sassafras albidum","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243126","1","","","","Public - federal","84.5'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Sassafras","Sassafras albidum","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241482","1","","","","Public - state","92.4'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Sassafras","Sassafras albidum","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175062","1","","","","Public - federal","75.2'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Sassafras","Sassafras albidum","Delaware","New Castle","Brandywine Creek State Park","","","","","142911","1","","","","State","90.5'","Clinometer/laser rangefinder/sine","3.8'","46''","","","George Fieo","2011-01-09","","N"
"Sassafras","Sassafras albidum","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232126","1","","","","Public - federal","100.5'","Clinometer/laser rangefinder/sine","5.8'","70''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Sassafras","Sassafras albidum","Georgia","Fannin","Jacks River And Conasauga Creek","","","Trees were measured in both drainages and will be indicated under comments","","234809","1","","","","Public - federal","112.0'","Clinometer/laser rangefinder/sine","5.3'","64''","","West Fork Jacks River","Jess Riddle","2005-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fjacks_river.htm","N"
"Sassafras","Sassafras albidum","Georgia","Stephens","Panther Creek","","","","","249122","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.3'","100''","","","Jess Riddle","2005-03-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sassafras","Sassafras albidum","Kentucky","Edmonson","Mammoth Cave National Park","37 09.931","-086 07.548","","","297613","1","37 09.931","-086 07.548","620.0 ft","Public","108.1'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Elijah Whitcomb","2023-06-23","","N"
"Sassafras","Sassafras albidum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.846","-086 03.001","","","297557","1","37 12.846","-086 03.001","525.0 ft","Public","109.7'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2023-06-23","","N"
"Sassafras","Sassafras albidum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.546","-086 12.140","","","297374","1","37 13.546","-086 12.140","620.0 ft","Public","110.1'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2023-06-23","","N"
"Sassafras","Sassafras albidum","Kentucky","Todd","Jefferson Davis State Historic Site","36 50.531","-087 18.016","Features a 351 foot obelisk commemerating Jefferson Davis","","76449","1","36 50.531","-087 18.016","600.0 ft","Public - state park","","Clinometer/laser rangefinder/sine","8.4'","101''","","","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Sassafras","Sassafras albidum","Massachusetts","Suffolk","Franklin Park","","","527 Acres
Trees were measured in the ""Wilderness"" section.","","235722","1","","","","Public - city","","Clinometer/laser rangefinder/sine","6.6'","79''","","","Andrew Joslin","2006-08-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Ffranklin_park.htm","N"
"Sassafras","Sassafras albidum","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250525","1","","","","Public - city","66.7'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Sassafras","Sassafras albidum","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250524","1","","","","Public - city","77.3'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
