"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234075","1","","","","Public - city","113.1'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234078","1","","","","Public - city","116.5'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234073","1","","","","Public - city","119.3'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234074","1","","","","Public - city","125.9'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234077","1","","","","Public - city","127.9'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234082","1","","","","Public - city","133.6'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234076","1","","","","Public - city","135.3'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234085","1","","","","Public - city","135.9'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234079","1","","","","Public - city","138.8'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234081","1","","","","Public - city","152.4'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234080","1","","","","Public - city","152.5'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234083","1","","","","Public - city","159.4'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Alameda","Joaquin Miller Park","","","500 acres","","234084","1","","","","Public - city","163.2'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Butte","Bidwell Park","","","3,670 acres in Upper and Lower Bidwell Park","","274978","1","","","","Public - city","126.3'","Clinometer/laser rangefinder/sine","10.6'","127''","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Redwood","Sequoia sempervirens","California","Humboldt","Along Eel River","","","","","269078","1","","","","Public-Private","352.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor, John Montague","2017-12-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8162","N"
"Redwood","Sequoia sempervirens","California","Humboldt","Along Eel River","","","","","269077","1","","","","Public-Private","353.4'","Clinometer/laser rangefinder/sine","34.6'","415''","","Known as the ""Sollstice Tree""","Michael Taylor, John Montague","2017-12-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8162","N"
"Redwood","Sequoia sempervirens","California","Humboldt","Humboldt Redwoods State Park","","","Trees located along Eel River.","","269153","1","","","","Public-Private","350.1'","Clinometer/laser rangefinder/sine","43.1'","517''","","Tree known as ""Steed""","Michael Taylor, John Montague","2018-10-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8411","N"
"Redwood","Sequoia sempervirens","California","Humboldt","Humboldt Redwoods State Park","","","Trees located along Eel River.","","269154","1","","","","Public-Private","351.8'","Clinometer/laser rangefinder/sine","25.8'","309''","","Tree known as ""Waldo""","Michael Taylor, John Montague","2018-10-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8411","N"
"Redwood","Sequoia sempervirens","California","Humboldt","Redwood National Park","","","The State Parks are also jointly managed as part of the national park.","","268683","1","","","","Public - federal","259.0'","Clinometer/laser rangefinder/sine","91.7'","1101''","","Height is an initial measurement with handheld laser.
Circumference is a calculated functional number due to steep slope. 
27,959 cubic feet","John Montague","2015-05-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7075","N"
"Redwood","Sequoia sempervirens","California","Mendocino","Jackson Demonstration State Forest","","","48,652 acres","","269141","1","","","","Public - state","334.8'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2019-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8581%23p43751","N"
"Redwood","Sequoia sempervirens","California","Mendocino","Jackson Demonstration State Forest","","","48,652 acres","","269140","1","","","","Public - state","340.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2019-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8581%23p43751","N"
"Redwood","Sequoia sempervirens","California","Mendocino","Montgomery Woods State Nature Preserve","","","1323 acres","","269144","1","","","","Public - state","350.1'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2019-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8581%23p43751","N"
"Redwood","Sequoia sempervirens","California","Mendocino","Montgomery Woods State Nature Preserve","","","1323 acres","","269143","1","","","","Public - state","350.9'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2019-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8581%23p43751","N"
