"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Common Sweetleaf","Symplocos tinctoria","Alabama","Montgomery","Alabama Single Tree Sites","32 22.647","-086 18.019","","","253884","1","32 22.647","-086 18.019","","Public-Private","46.9'","Clinometer/laser rangefinder/sine","2.8'","34''","","Measured by J. Riddle 8/25/2014. Location not indicated","Various Various","2001-01-01","","N"
"Common Sweetleaf","Symplocos tinctoria","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241707","1","","","","Private","55.4'","Clinometer/laser rangefinder/sine","2.8'","33''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Common Sweetleaf","Symplocos tinctoria","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241706","1","","","","Private","55.6'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Common Sweetleaf","Symplocos tinctoria","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241705","1","","","","Private","56.0'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Common Sweetleaf","Symplocos tinctoria","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251060","1","","","","Public - federal","56.9'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Jess Riddle","2014-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Common Sweetleaf","Symplocos tinctoria","Pennsylvania","Montgomery","Henry Foundation For Botanical Research","","","501 Stoney Lane, Gladwyne, Montgomery County.","","142270","1","","","","Private","32.0'","Clinometer/laser rangefinder/sine","3.0'","36''","36.0'","Also known as ""Horse Sugar""","Scott Wade","2008-11-07","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fhenry_foundation_gladwyne_pa.htm","N"
"Common Sweetleaf","Symplocos tinctoria","South Carolina","Chesterfield","Cheraw State Park","34 38.219","-079 53.493","","","2421","1","34 38.219","-079 53.493","","Public","39.0'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Tyler Phillips","2011-03-17","","N"
"Common Sweetleaf","Symplocos tinctoria","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236772","1","","","","Public - state","47.2'","Clinometer/laser rangefinder/sine","2.3'","28''","24.0'","Crown spread is maximum, minimum is 16.5'","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Common Sweetleaf","Symplocos tinctoria","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236773","1","","","","Public - state","47.6'","Clinometer/laser rangefinder/sine","2.4'","29''","26.0'","Crown spread is maximum, minimum is 14'","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Common Sweetleaf","Symplocos tinctoria","South Carolina","Oconee","Rich Mountain","","","","","237741","1","","","","Public - federal","40.4'","Clinometer/laser rangefinder/sine","1.5'","18''","","Ramsey Creek","Jess Riddle","2002-03-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Frich_mountain.htm","N"
"Common Sweetleaf","Symplocos tinctoria","South Carolina","Richland","Congaree National Park","","","","","238591","1","","","","Public - national","49.5'","Clinometer/laser rangefinder/sine","2.3'","27''","","","Jess Riddle, Michael Davie, Marcus Houchins","2007-04-02","","N"
