"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pond Cypress","Taxodium ascendens","Louisiana","East Baton Rouge Parish","Louisiana Single Tree Sites","30 24.685","-091 13.918","","","253892","1","30 24.685","-091 13.918","","Public-Private","64.5'","Clinometer/laser rangefinder/sine","10.4'","125''","55.5'","Measured by L. Tucei 5/4/2009 near the town of Brusly, West Baton Rouge Parish.","Various Various","2000-01-01","","N"
"Pond Cypress","Taxodium ascendens","North Carolina","New Hanover","Bluethenthal Wildflower Preserve","","","","","40677","1","","","","Public","73.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5243","N"
"Pond Cypress","Taxodium ascendens","North Carolina","New Hanover","Bluethenthal Wildflower Preserve","","","","","40678","1","","","","Public","75.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5243","N"
"Pond Cypress","Taxodium ascendens","North Carolina","New Hanover","Bluethenthal Wildflower Preserve","","","","","40679","1","","","","Public","76.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5243","N"
"Pond Cypress","Taxodium ascendens","Ohio","Franklin","Ohio Single Tree Sites","39 20.183","-082 04.593","","","302730","1","39 20.183","-082 04.593","","Public, Private","70.3'","Clinometer/laser rangefinder/sine","10.6'","127''","46.8'","Measured  T. Sharp. 8-19-2023  at  East State Street park m4ar the Atens Community Center in Athens, Athens County.","Turner Sharp","2000-01-01","","N"
"Pond Cypress","Taxodium ascendens","Oklahoma","Oklahoma","Oklahoma Single Tree Sites","35 26.332","-094 48.708","","","168957","1","35 26.332","-094 48.708","","Public, Private","58.0'","Clinometer/laser rangefinder/sine","5.8'","69''","","Measured by T. Sharp 9/29/2016.
Tree located on grounds of Sallisaw/Fort Smith West KOA campground. Tree is planted","Various Various","2016-09-29","","N"
"Pond Cypress","Taxodium ascendens","Pennsylvania","Delaware","Concord Road","","","","","224403","1","","","200.0 ft","Private","63.2'","Clinometer/laser rangefinder/sine","6.7'","80''","15.0'","","Scott Wade","2006-02-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fconcord_road.htm","N"
"Pond Cypress","Taxodium ascendens","South Carolina","Chesterfield","Cheraw State Park","34 38.659","-079 53.558","","","2424","1","34 38.659","-079 53.558","","Public","79.2'","Clinometer/laser rangefinder/sine","11.0'","132''","","","Tyler Phillips","2011-03-05","","N"
"Pond Cypress","Taxodium ascendens","South Carolina","Chesterfield","Cheraw State Park","34 38.778","-079 53.438","","","2425","1","34 38.778","-079 53.438","","Public","99.3'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Tyler Phillips","2011-03-05","","N"
"Pond Cypress","Taxodium ascendens","West Virginia","Wood","Wood County Single Tree Sites","39 16.005","-081 32.579","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","315043","1","39 16.005","-081 32.579","","Public and private","69.7'","Clinometer/laser rangefinder/sine","7.3'","87''","42.0'","Measured by T, Sharp 8/20/2021 at 1206 Laird Avenue, Parkersburg. Tree is in fenced backyard.","Turner Sharp","2000-01-01","","N"
