"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Bald Cypress","Taxodium distichum","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241846","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","27.1'","325''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Bald Cypress","Taxodium distichum","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241845","1","","","","Public - federal","108.5'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Bald Cypress","Taxodium distichum","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243127","1","","","","Public - federal","123.7'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Bald Cypress","Taxodium distichum","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241613","1","","","","Public - state","119.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Bald Cypress","Taxodium distichum","Arkansas","Prairie","Des Arc","","","2500 acre private tract","","233992","1","","","","Private","105.0'","Clinometer/laser rangefinder/sine","21.5'","258''","","","Don Bragg","2007-07-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fdes_arc%2Fsome_new_ar_champions.htm","N"
"Bald Cypress","Taxodium distichum","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","38 56.401","-077 03.940","","","76090","1","38 56.401","-077 03.940","200.0 ft","Public - National Park","91.1'","Clinometer/laser rangefinder/sine","10.2'","122''","","Planted specimen","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Bald Cypress","Taxodium distichum","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128228","1","","","10.0 ft","Public - National Park","95.1'","Clinometer/laser rangefinder/sine","7.0'","84''","","Probably planted","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"Bald Cypress","Taxodium distichum","Florida","Calhoun","Torreya State Park","30 34.505","-084 57.118","","","323411","1","30 34.505","-084 57.118","135.0 ft","Public","124.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2026-02-19","","N"
"Bald Cypress","Taxodium distichum","Florida","Levy","Manatee Springs State Park","29 29.396","-082 58.606","","","159249","1","29 29.396","-082 58.606","","Public - state","82.0'","Clinometer/laser rangefinder/sine","13.5'","162''","","","Turner Sharp","2017-03-08","","N"
"Bald Cypress","Taxodium distichum","Florida","Levy","Manatee Springs State Park","29 29.380","-082 58.617","","","159248","1","29 29.380","-082 58.617","","Public - state","83.0'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2017-03-08","","N"
