"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"English Yew","Taxus baccata","South Bohemian Region","Ceský Krumlov","Cesky Kumlov Castle Garden","","","UNESCO WORLD HERITAGE SITE.","","284685","1","","","","Public - federal","31.2'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Turner Sharp","2016-03-18","","N"
"English Yew","Taxus baccata","Andalusia","Sevilla","Royal Alcszar O Selille","","","","","274941","1","","","","Public - federal","42.1'","Clinometer/laser rangefinder/sine","4.4'","53''","","Located in Jardin de la Cruz","Turner Sharp","2014-10-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D403%26t%3D6982%26sid%3D17cca9bfba6e01cbcdc72033af7f7718%23p32830","N"
"English Yew","Taxus baccata","Budapest","Budapest","Grounds Of Museum Of Hungarian History And Culture","47 29.430","019 03.803","","","283218","1","47 29.430","019 03.803","","Public - federal","29.8'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Turner Sharp","2016-03-30","","N"
"English Yew","Taxus baccata","New Jersey","Mercer","Princeton University","","","Trees were measured in a naturalized area","","171032","1","","","","Private","53.8'","Clinometer/laser rangefinder/sine","11.0'","132''","48.0'","","Scott Wade, Megan Varnes","2005-07-26","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_jersey%2Fprinceton%2Fprinceton.htm","N"
"English Yew","Taxus baccata","New York","Monroe","Highland Park","","","","","226066","1","","","","Public","54.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"English Yew","Taxus baccata","West Virginia","Wood","Blair House","39 17.330","-081 31.889","This was a 3 acre site with one residence that was heavily wooded. It recently sold and will host a medical office with much increased parking area and not many trees.","","273099","2","39 17.330","-081 31.889","","Private","21.8'","Clinometer/laser rangefinder/sine","2.5'","30''","30.5'","Crown spread is an average of two axis method. Maximum is 36'","Turner Sharp, Turner Sharp","2015-11-08","","N"
"English Yew","Taxus baccata","West Virginia","Wood","City Park","39 16.349","-081 31.528","","","203683","2","39 16.349","-081 31.528","640.0 ft","City","24.3'","Clinometer/laser rangefinder/sine","3.0'","36''","","Circumference taken at 3 1/2'","Turner Sharp, Sarah Friend, Turner Sharp","2018-10-13","","N"
"English Yew","Taxus baccata","West Virginia","Wood","City Park","39 16.349","-081 31.531","","","203682","2","39 16.349","-081 31.531","","City","31.7'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Turner Sharp, Sarah Friend, Turner Sharp","2018-10-13","","N"
"English Yew","Taxus baccata","West Virginia","Wood","City Park","39 16.353","-081 31.532","","","272891","1","39 16.353","-081 31.532","640.0 ft","City","35.6'","Clinometer/laser rangefinder/sine","3.0'","36''","","Circumference taken at 2' above which breads into two prongs both of which are 24.6"" at 4 1/2'.","Turner Sharp","2018-10-13","","N"
"English Yew","Taxus baccata","West Virginia","Wood","Oakwood","","","","","291283","1","","","640.0 ft","Private","","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2013-04-03","","N"
"English Yew","Taxus baccata","West Virginia","Wood","Oakwood","39 15.838","-081 32.580","","","203605","3","39 15.838","-081 32.580","","Private","43.4'","Clinometer/laser rangefinder/sine","5.7'","68''","30.0'","Crown spread is an average of the two axis method.","Turner Sharp, Turner Sharp, Bill Schlier, Turner Sharp","2022-11-23","","N"
"English Yew","Taxus baccata","West Virginia","Wood","Quincy Hill Park","","","","","298197","1","","","740.0 ft","Public - city","30.8'","Clinometer/laser rangefinder/sine","3.7'","44''","26.0'","OL section
Crown spread is maximum, average is 24'","Turner Sharp","2013-12-03","","N"
