"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Arborvitae","Thuja occidentalis","Massachusetts","Franklin","Howland Cemetery","42 31.945","-072 42.018","","","235835","1","42 31.945","-072 42.018","","Private","70.7'","Clinometer/laser rangefinder/sine","6.5'","78''","","Measured by J. LaCoy 2/5/2009 along Shelburne Falls Road north of Conway, Franklin County","Jeff Lacoy","2009-01-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fhowland_cemetery_pines_conway_ma.htm","N"
"Arborvitae","Thuja occidentalis","Massachusetts","Franklin","Howland Cemetery","42 31.944","-072 42.019","","","235834","1","42 31.944","-072 42.019","","Private","78.1'","Clinometer/laser rangefinder/sine","7.1'","85''","","Measured by J. LaCoy 2/5/2009 along Shelburne Falls Road north of Conway, Franklin County","Jeff Lacoy","2009-01-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fhowland_cemetery_pines_conway_ma.htm","N"
"Arborvitae","Thuja occidentalis","Maryland","Washington","Killiamsburg Woods","","","","","158531","1","","","","Public-federal","43.7'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Darian Copiz","2017-01-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7960","N"
"Arborvitae","Thuja occidentalis","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235325","1","","","","Public - federal","62.1'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Arborvitae","Thuja occidentalis","North Carolina","Buncombe","Coleman Boundary/Douglas Falls","","","","","227832","1","","","","Public - national","57.9'","Clinometer/laser rangefinder/sine","5.0'","60''","","","James Parton","2008-05-13","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcoleman%2Fcoleman_boundary_and_douglas_fal.htm","N"
"Arborvitae","Thuja occidentalis","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39490","1","","","","WNC Arboretum","75.5'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Arborvitae","Thuja occidentalis","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39491","1","","","","WNC Arboretum","79.4'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
"Arborvitae","Thuja occidentalis","New York","Cayuga","Fort Hill Cemetery","42 55.563","-076 34.307","","","214919","1","42 55.563","-076 34.307","785.0 ft","Public","58.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-07","","N"
"Arborvitae","Thuja occidentalis","New York","Delaware","St. Paul's Cemetery","","","","","225852","1","","","","Private","61.5'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2017-09-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7680","N"
"Arborvitae","Thuja occidentalis","New York","Delaware","St. Paul's Cemetery","","","","","225853","1","","","","Private","61.5'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Elijah Whitcomb","2017-09-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7680","N"
