"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Western Redcedar","Thuja plicata","Idaho","Benewah","White Pine Scenic Byway","","","","","296912","1","","","","Public (Forest Service)","156.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-20","","N"
"Western Redcedar","Thuja plicata","Idaho","Clearwater","Floodwood State Forest","46 57.596","-115 52.331","","","318051","1","46 57.596","-115 52.331","4210.0 ft","Public","149.0'","Clinometer/laser rangefinder/sine","","","","Len Jordan Tree; reported 17' DBH","Elijah Whitcomb","2024-07-09","","N"
"Western Redcedar","Thuja plicata","Idaho","Clearwater","Floodwood State Forest","46 57.605","-115 52.328","","","318050","1","46 57.605","-115 52.328","4200.0 ft","Public","196.0'","Clinometer/laser rangefinder/sine","","","","trunk too large to tape wrap","Elijah Whitcomb","2024-07-09","","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Devoto Memorial Grove","","","","","164258","1","","","3600.0 ft","Public","","Clinometer/laser rangefinder/sine","18.6'","223''","","","Turner Sharp","2014-08-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Devoto Memorial Grove","46 32.377","-114 40.476","","","226315","1","46 32.377","-114 40.476","","Public","115.1'","Clinometer/laser rangefinder/sine","17.5'","210''","","","Turner Sharp","2018-07-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Devoto Memorial Grove","46 32.354","-114 40.513","","","226314","1","46 32.354","-114 40.513","","Public","122.8'","Clinometer/laser rangefinder/sine","18.0'","217''","","","Turner Sharp","2018-07-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Devoto Memorial Grove","","","","","164256","1","","","3600.0 ft","Public","155.5'","Clinometer/laser rangefinder/sine","16.6'","199''","","","Turner Sharp","2014-08-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Devoto Memorial Grove","46 32.315","-114 40.523","","","164260","1","46 32.315","-114 40.523","3600.0 ft","Public","156.7'","Clinometer/laser rangefinder/sine","18.1'","217''","","","Turner Sharp","2014-08-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Powell Campground","46 30.693","-114 43.378","","","220374","1","46 30.693","-114 43.378","3400.0 ft","Public","92.1'","Clinometer/laser rangefinder/sine","7.4'","89''","","Spike top, near campsite # 10","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western Redcedar","Thuja plicata","Idaho","Idaho","Powell Campground","","","","","220373","1","","","3400.0 ft","Public","109.8'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
