"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Basswood","Tilia americana","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175054","1","","","","Public - federal","91.8'","Clinometer/laser rangefinder/sine","12.7'","152''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Basswood","Tilia americana","Delaware","New Castle","Brandywine Creek State Park","","","","","142883","1","","","","State","105.8'","Clinometer/laser rangefinder/sine","7.9'","95''","","In decline.","George Fieo","2011-01-09","","N"
"American Basswood","Tilia americana","Delaware","New Castle","Rockwood Park","","","","","75462","1","","","","Public - County Park","72.2'","Clinometer/laser rangefinder/sine","","","","13.8' CBH but from pictures it appears the tree is multi-stem","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"American Basswood","Tilia americana","Georgia","Fannin","Flat Top Mountain","","","","","249580","1","","","","Public - federal","137.2'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Jess Riddle, Doug Riddle","2007-01-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fflat_top_mountain.htm","N"
"American Basswood","Tilia americana","Iowa","Clayton","Merritt Forest State Preserve","","","20 Acres","","233672","1","","","","Public - state","101.1'","Clinometer/laser rangefinder/sine","9.7'","116''","62.0'","","Mark Rouw","2012-01-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D80%26t%3D3697%26sid%3Dcf2621e212ab00aef5417c991313897f%23p15194","N"
"American Basswood","Tilia americana","Kentucky","Mccreary","Along The Cumberland River","","","","","76418","1","","","","Public - National Forest","","","8.7'","104''","","","Jim Scheef","2011-09-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D3049%23p12183","N"
"American Basswood","Tilia americana","Massachusetts","Berkshire","Chickley River Valley","","","Trees were measured on the public lands of Savoy Mountain State Park, Kenneth M. Dubuque State Park and some private land.","","250148","1","","","","Public-Private","115.0'","Clinometer/laser rangefinder/sine","7.6'","91''","","","John Knuerr","2011-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D3262%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032%23p13071","N"
"American Basswood","Tilia americana","Massachusetts","Franklin","Shelburne Falls Area","","","","","235569","1","","","","Public-Private","102.9'","Clinometer/laser rangefinder/sine","6.3'","76''","","","John Eichholz","2004-11-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fshelburne04.htm","N"
"American Basswood","Tilia americana","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250486","1","","","","Public - city","82.8'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"American Basswood","Tilia americana","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","231975","1","","","","Public - state","118.1'","Clinometer/laser rangefinder/sine","6.0'","72''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"American Basswood","Tilia americana","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","231976","1","","","","Public - state","125.3'","Clinometer/laser rangefinder/sine","5.7'","68''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"American Basswood","Tilia americana","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231761","1","","","","Public - state","130.0'","Clinometer/laser rangefinder/sine","4.7'","56''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"American Basswood","Tilia americana","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","230994","1","","","","Public - state park","94.0'","Clinometer/laser rangefinder/sine","6.9'","82''","","","George Fieo","2017-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"American Basswood","Tilia americana","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","230995","1","","","","Public - state park","109.4'","Clinometer/laser rangefinder/sine","10.2'","122''","","","George Fieo","2017-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"American Basswood","Tilia americana","Michigan","Cheboygan","Colonial Point Memorial Forest","","","Now known as:
Chaboinganing Nature Reserve
484 Acres","","240005","1","","","","Public - state","","Clinometer/laser rangefinder/sine","6.2'","74''","","","Don Bragg","2006-07-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fwoodruff.htm","N"
"American Basswood","Tilia americana","Minnesota","Hennepin","Baker Park Reserve","45 02.008","-093 37.267","","","172277","1","45 02.008","-093 37.267","","Public","","","14.3'","172''","","Cool feature of this tree: a perfect heart shaped hole in the side","Riley Smith","2016-05-11","","N"
"American Basswood","Tilia americana","Minnesota","Hennepin","Elm Creek Park Reserve","","","","","112159","1","","","","Park District - Public","67.0'","Clinometer/laser rangefinder/sine","15.6'","187''","","Large basswood just off the trail, somewhere just south of 129th Ave on the western side of the park","Riley Smith, Joseph Ewing","2015-12-13","","N"
"American Basswood","Tilia americana","North Carolina","Haywood","Groundhog Creek","","","Groundhog Creek flows into the Pigeon River.","","227646","1","","","","Public - national","130.2'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Jess Riddle","2006-12-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fgroundhog_creek.htm","N"
"American Basswood","Tilia americana","North Carolina","Swain","Mingus Creek","","","Mingus Creek into Oconaluftee River,","","229277","1","","","","Public - national","128.9'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Jess Riddle","2007-04-30","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fmingus_creek.htm","N"
