"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Basswood","Tilia americana var. americana","Georgia","White","Mark Trail Wilderness","","","16,400 Acres
14 miles of the Appalachian Trail traverse the wilderness. Trees were measured just off trail on north facing slope.","","249598","1","","","","Public - federal","111.4'","Clinometer/laser rangefinder/sine","11.8'","142''","","","Jess Riddle","2015-04-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D7018%26sid%3D6744f533e0a6b584a1da3c0e88b3e7de","N"
"American Basswood","Tilia americana var. americana","Nebraska","Sarpy","Washington Park","","","","","220432","1","","","1200.0 ft","Public - city","86.5'","Clinometer/laser rangefinder/sine","13.3'","160''","","","Jess Riddle","2013-11-03","","N"
"American Basswood","Tilia americana var. americana","New York","Cattaraugus","Zoar Valley","42 26.461","-078 53.312","","","221858","1","42 26.461","-078 53.312","880.0 ft","Public","129.2'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Basswood","Tilia americana var. americana","New York","Cattaraugus","Zoar Valley","42 26.447","-078 53.344","","","221797","1","42 26.447","-078 53.344","875.0 ft","Public","132.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Basswood","Tilia americana var. americana","New York","Cayuga","Fort Hill Cemetery","42 55.497","-076 34.471","","","214931","1","42 55.497","-076 34.471","","Public","88.2'","Clinometer/laser rangefinder/sine","11.3'","135''","","","Elijah Whitcomb","2020-09-07","","N"
"American Basswood","Tilia americana var. americana","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242688","1","","","","Public","83.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2021-05-17","","N"
"American Basswood","Tilia americana var. americana","New York","Essex","Hoffman Notch Wilderness","","","","","221362","1","","","","Public","107.8'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2017-09-16","","N"
"American Basswood","Tilia americana var. americana","New York","Essex","Hoffman Notch Wilderness","","","","","221356","1","","","","Public","112.1'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb","2017-09-16","","N"
"American Basswood","Tilia americana var. americana","New York","Essex","Pharaoh Lake Wilderness","","","","","214308","1","","","","Public","99.2'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"American Basswood","Tilia americana var. americana","New York","Essex","Pharaoh Lake Wilderness","","","","","214317","1","","","","Public","100.3'","Clinometer/laser rangefinder/sine","10.3'","124''","","Pharaoh Lake Trail","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"American Basswood","Tilia americana var. americana","New York","Essex","Pharaoh Lake Wilderness","","","","","214309","1","","","","Public","107.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"American Basswood","Tilia americana var. americana","New York","Greene","Kaaterskill Falls","","","","","257242","1","","","","Public","115.0'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Harold Stoner","2004-11-22","","N"
"American Basswood","Tilia americana var. americana","New York","Monroe","Abraham Lincoln Park","","","","","323095","1","","","","Public","111.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-12-26","","N"
"American Basswood","Tilia americana var. americana","New York","Monroe","Ellison Park","43 09.179","-077 31.439","","","323131","1","43 09.179","-077 31.439","","Public","130.5'","Clinometer/laser rangefinder/sine","8.4'","100''","","","Elijah Whitcomb","2025-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7882%26start%3D10","N"
"American Basswood","Tilia americana var. americana","New York","Monroe","Hart’S Woods","","","","","186044","1","","","","Public","114.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2019-03-24","","N"
"American Basswood","Tilia americana var. americana","New York","Monroe","Lucien Morin County Park","","","","","322935","1","","","","Public","121.1'","Clinometer/laser rangefinder/sine","","","","Double-trunked","Elijah Whitcomb","2025-12-26","","N"
"American Basswood","Tilia americana var. americana","New York","Monroe","Tryon Park","43 10.301","-077 32.222","","","240854","1","43 10.301","-077 32.222","","Public","122.9'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2021-03-15","","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Beaver Lake Nature Center","","","","","213017","1","","","","Public","109.9'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2015-11-01","","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Camillus Unique Area","","","","","230511","1","","","700.0 ft","Public (NY DEC)","92.6'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Elijah Whitcomb","2021-01-18","","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Camillus Unique Area","43 04.002","-076 17.592","","","230517","1","43 04.002","-076 17.592","700.0 ft","Public (NY DEC)","110.4'","Clinometer/laser rangefinder/sine","6.5'","77''","","","Elijah Whitcomb","2021-01-18","","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","257760","1","","","","Public","106.4'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb, Robert Henry","2015-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","257759","1","","","","Public","107.6'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb, Robert Henry","2015-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","257761","1","","","","Public","114.2'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb, Robert Henry","2015-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","221095","1","","","","Public","118.9'","Clinometer/laser rangefinder/sine","","","","North trail between the lakes.","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","221096","1","","","","Public","123.3'","Clinometer/laser rangefinder/sine","","","","North trail between the lakes.","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","221140","1","","","","Public","124.5'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","221122","1","","","","Public","127.5'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Green Lakes State Park","","","","","221123","1","","","","Public","133.3'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Elijah Whitcomb, Tom Howard, Bob Henry","2020-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D2419","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Liverpool School Maple Grove","","","","","257934","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","7.4'","89''","","","Tom Howard, Jack Howard","2009-03-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7426%26sid%3Dc5ed2ba57ebfaf34b1030c97de047870%23p41639","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Liverpool School Maple Grove","","","","","221027","1","","","","Public-Private","108.5'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb, Tom Howard","2016-12-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7426%26sid%3Dc5ed2ba57ebfaf34b1030c97de047870%23p41639","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Liverpool School Maple Grove","","","","","221012","1","","","","Public-Private","111.0'","Clinometer/laser rangefinder/sine","","","","Measured by Tom Howard, 1/4/15.","Elijah Whitcomb, Tom Howard","2016-12-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7426%26sid%3Dc5ed2ba57ebfaf34b1030c97de047870%23p41639","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Long Branch Park","43 07.029","-076 15.198","","","230433","1","43 07.029","-076 15.198","390.0 ft","Public","116.7'","Clinometer/laser rangefinder/sine","","","","Multi-trunk tree","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Whiskey Hollow","43 07.012","-076 23.503","","","229722","1","43 07.012","-076 23.503","615.0 ft","Private","117.0'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2021-01-03","","N"
"American Basswood","Tilia americana var. americana","New York","Onondaga","Whiskey Hollow","43 07.044","-076 23.588","","","229721","1","43 07.044","-076 23.588","620.0 ft","Private","121.5'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2021-01-03","","N"
"American Basswood","Tilia americana var. americana","New York","Orange","Storm King State Park","","","","","186146","1","","","","Public","110.7'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2019-04-07","","N"
"American Basswood","Tilia americana var. americana","New York","Oswego","Curtiss-Gale WMA","","","","","221392","1","","","","Public","114.2'","Clinometer/laser rangefinder/sine","5.2'","63''","","","Elijah Whitcomb","2019-05-21","","N"
"American Basswood","Tilia americana var. americana","New York","Putnam","West Point Foundry Preserve","","","","","185983","1","","","","Public","120.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-04-14","","N"
"American Basswood","Tilia americana var. americana","New York","Saratoga","Moreau Lake State Park","43 14.104","-073 43.272","","","209462","1","43 14.104","-073 43.272","","Public","110.1'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2020-05-17","","N"
"American Basswood","Tilia americana var. americana","New York","Saratoga","Moreau Lake State Park","43 13.704","-073 42.958","","","209463","1","43 13.704","-073 42.958","","Public","114.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2020-05-17","","N"
"American Basswood","Tilia americana var. americana","New York","Schuyler","Watkins Glen State Park","","","","","186103","1","","","","Public","106.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-02-11","","N"
"American Basswood","Tilia americana var. americana","New York","Seneca","Cayuga Lake State Park","","","","","221066","1","","","","Public","112.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7243","N"
"American Basswood","Tilia americana var. americana","New York","Tompkins","Fischer Old Growth Natural Area","","","","","205429","1","","","","Public","126.2'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Elijah Whitcomb","2018-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8383","N"
"American Basswood","Tilia americana var. americana","New York","Tompkins","Fischer Old Growth Natural Area","","","","","205446","1","","","","Public","131.9'","Clinometer/laser rangefinder/sine","7.7'","93''","","","Elijah Whitcomb","2018-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8383","N"
"American Basswood","Tilia americana var. americana","New York","Tompkins","Robert H. Treman State Park","42 23.883","-076 33.503","","","212953","1","42 23.883","-076 33.503","","Public","130.3'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Elijah Whitcomb","2019-06-10","","N"
"American Basswood","Tilia americana var. americana","New York","Tompkins","Smith Woods","","","","","221292","1","","","","Public","120.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-10-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7265","N"
"American Basswood","Tilia americana var. americana","New York","Tompkins","Taughannock Falls State Park","","","","","230100","1","","","","Public","111.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2021-01-10","","N"
"American Basswood","Tilia americana var. americana","New York","Wayne","Zurich Bog","","","","","221775","1","","","","Private","113.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-03","","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220737","1","","","","Public (NYS)","92.8'","Clinometer/laser rangefinder/sine","11.3'","135''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220738","1","","","","Public (NYS)","100.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220844","1","","","","Public (NYS)","105.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220851","1","","","","Public (NYS)","106.0'","Clinometer/laser rangefinder/sine","11.9'","143''","64.0'","Crown spread is average of 8 spokes","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220806","1","","","","Public (NYS)","107.5'","Clinometer/laser rangefinder/sine","6.3'","75''","","Measured by Jess Riddle, posted to NTS BBS 3/11/2012.","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220810","1","","","","Public (NYS)","111.0'","Clinometer/laser rangefinder/sine","8.8'","105''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220805","1","","","","Public (NYS)","112.5'","Clinometer/laser rangefinder/sine","7.8'","93''","","Measured by Jess Riddle, posted to NTS BBS 3/11/2012.","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220899","1","","","","Public (NYS)","117.6'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Basswood","Tilia americana var. americana","New York","Wyoming/Livingston","Letchworth State Park","","","","","217793","1","","","","Public","123.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"American Basswood","Tilia americana var. americana","New York","Wyoming/Livingston","Letchworth State Park","","","","","217843","1","","","","Public","126.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"American Basswood","Tilia americana var. americana","New York","Wyoming/Livingston","Letchworth State Park","","","","","217782","1","","","","Public","127.3'","Clinometer/laser rangefinder/sine","7.9'","94''","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"American Basswood","Tilia americana var. americana","New York","Wyoming/Livingston","Letchworth State Park","","","","","217837","1","","","","Public","127.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Erie","Glenwood Park","","","","","120396","1","","","800.0 ft","Public","90.1'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Dale Luthringer","2003-05-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fglenwood_park_woods.htm","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Erie","Gudgeonville And Upstream Of Route 98 Bridge","","","","","120170","1","","","","Private","75.1'","","","","","Height is Not Less Than (NLT)","Dale Luthringer","2009-11-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D148%26t%3D760%23p2369","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Erie","Gudgeonville And Upstream Of Route 98 Bridge","","","","","120171","1","","","","Private","93.1'","Clinometer/laser rangefinder/sine","5.1'","61''","","Height is Not Less Than (NLT)","Dale Luthringer","2009-11-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D148%26t%3D760%23p2369","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Fayette","Along Great Gorge Trail","","","This area includes a 2.4 mile section along the trail from Cucumber Falls to the Railroad Trestle.  32 acres with about 16 acres Old Growth","","167653","1","","","","Public - State Park","106.3'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Dale Luthringer","2008-03-26","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F4b65935fe745fc78%3Fhl%3Den","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Fayette","Along Great Gorge Trail","","","This area includes a 2.4 mile section along the trail from Cucumber Falls to the Railroad Trestle.  32 acres with about 16 acres Old Growth","","167654","1","","","","Public - State Park","107.3'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Dale Luthringer","2008-03-26","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F4b65935fe745fc78%3Fhl%3Den","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Fayette","Along Great Gorge Trail","","","This area includes a 2.4 mile section along the trail from Cucumber Falls to the Railroad Trestle.  32 acres with about 16 acres Old Growth","","167647","1","","","","Public - State Park","108.1'","Clinometer/laser rangefinder/sine","5.2'","62''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-05-17","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F4b65935fe745fc78%3Fhl%3Den","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Lawrence","Mcconnells Mill State Park","","","","","117414","1","","","","Public - State Park","69.1'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Than(NTL).
Tree is directly below mill.","Anthony Kelly","2006-01-07","","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Lawrence","Mcconnells Mill State Park","","","","","117415","1","","","","Public - State Park","101.6'","Clinometer/laser rangefinder/sine","","","","Located along Kildoo Trail-North side","Anthony Kelly","2006-01-07","","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Lawrence","Mcconnells Mill State Park","","","","","117439","1","","","","Public - State Park","118.4'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Anthony Kelly","2006-01-07","","N"
"American Basswood","Tilia americana var. americana","Pennsylvania","Lawrence","Mcconnells Mill State Park","","","","","117389","1","","","1100.0 ft","Public - State Park","126.0'","Clinometer/laser rangefinder/sine","","","","Tentative ID","Anthony Kelly","2006-01-07","","N"
