"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Basswood","Tilia americana var. heterophylla","Alabama","Jackson","Walls Of Jericho","34 59.363","-086 06.115","","","315719","1","34 59.363","-086 06.115","885.0 ft","Public","115.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-04-20","","N"
"American Basswood","Tilia americana var. heterophylla","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233842","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","9.6'","115''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"American Basswood","Tilia americana var. heterophylla","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233841","1","","","","Public - federal","121.9'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19239","1","","","","Park","126.7'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Eli ?","2012-01-28","","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Murray","Cohutta Wilderness","","","","","234383","1","","","","Public - federal","112.7'","Clinometer/laser rangefinder/sine","7.5'","90''","","Height is Not Less Then(NLT)","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Murray","Cohutta Wilderness","","","","","234384","1","","","","Public - federal","113.2'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Murray","Cohutta Wilderness","","","","","234385","1","","","","Public - federal","116.3'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Murray","Cohutta Wilderness","","","","","234931","1","","","","Public - federal","118.7'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Murray","North Prong Sumac Creek","","","","","234759","1","","","","Public - federal","112.3'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Jess Riddle","2003-11-27","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fnorth_prong_sumac_creek.htm","N"
"American Basswood","Tilia americana var. heterophylla","Georgia","Rabun","Camp Creek","","","Trees were measured on an alluvial flat.","","235223","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","7.9'","95''","","","Jess Riddle","2005-06-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5736%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
