"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Littleleaf Linden","Tilia cordata","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283509","1","","","","Public - city","71.4'","Clinometer/laser rangefinder/sine","6.8'","82''","","tree near Barbican Gate","Turner Sharp, Susan Sharp","2016-03-24","","N"
"Littleleaf Linden","Tilia cordata","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283467","1","","","","Public - federal","105.0'","Clinometer/laser rangefinder/sine","19.2'","230''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Littleleaf Linden","Tilia cordata","South Bohemian Region","Ceský Krumlov","Cesky Kumlov Castle Garden","","","UNESCO WORLD HERITAGE SITE.","","284686","1","","","","Public - federal","39.4'","Clinometer/laser rangefinder/sine","13.4'","161''","","","Turner Sharp","2016-03-18","","N"
"Littleleaf Linden","Tilia cordata","Georgia","Fulton","Piedmont Park","","","185 Acre Park","","235302","1","","","","Public - city","66.7'","Clinometer/laser rangefinder/sine","9.8'","118''","","'contorta'","Jess Riddle","2005-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fatlanta_trees.htm","N"
"Littleleaf Linden","Tilia cordata","Maryland","Howard","Waterford Farm","39 16.167","-077 03.695","","","158828","2","39 16.167","-077 03.695","","Private","89.5'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Turner Sharp, Turner Sharp","2022-09-08","","N"
"Littleleaf Linden","Tilia cordata","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260006","1","","","","Public - city","95.5'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Littleleaf Linden","Tilia cordata","West Virginia","54 Counties","West Virginia Single Tree Sites","39 17.348","-077 51.141","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313256","1","39 17.348","-077 51.141","","Private & Publc","75.0'","Clinometer/laser rangefinder/sine","12.1'","145''","54.0'","Circumference taken over vines.","Various Various","1963-01-01","","N"
"Littleleaf Linden","Tilia cordata","West Virginia","Wood","City Park","39 16.346","-081 31.537","","","203680","2","39 16.346","-081 31.537","","City","44.5'","Clinometer/laser rangefinder/sine","6.3'","75''","","Circumference taken at 1 1/2'","Turner Sharp, Sarah Friend, Turner Sharp","2018-10-13","","N"
"Littleleaf Linden","Tilia cordata","West Virginia","Wood","Quincy Hill Park","","","","","298198","1","","","740.0 ft","Public - city","64.0'","Clinometer/laser rangefinder/sine","4.7'","56''","","OL section of park","Turner Sharp","2013-12-03","","N"
"Littleleaf Linden","Tilia cordata","West Virginia","Wood","Wood County Historical Trees","39 16.934","-081 32.863","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315248","1","39 16.934","-081 32.863","","Public and Private","59.2'","Clinometer/laser rangefinder/sine","13.3'","160''","51.0'","Nominated by M. Plevich 2000
Measured by T. Sharp. 2012
Crown spread is an average of two-axis method.
Tree located at 925 24th Street at former Henry Logan Children Home.
Tree removed for new construction (motel) 6/2013","Turner Sharp","2000-01-01","","N"
