"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Hemlock","Tsuga canadensis","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252493","1","","","","Private","","Clinometer/laser rangefinder/sine","8.5'","102''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Eastern Hemlock","Tsuga canadensis","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252495","1","","","","Private","","Clinometer/laser rangefinder/sine","8.3'","99''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Eastern Hemlock","Tsuga canadensis","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252496","1","","","","Private","","Clinometer/laser rangefinder/sine","9.5'","114''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Eastern Hemlock","Tsuga canadensis","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252497","1","","","","Private","","Clinometer/laser rangefinder/sine","9.5'","114''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Eastern Hemlock","Tsuga canadensis","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252498","1","","","","Private","","Clinometer/laser rangefinder/sine","9.5'","114''","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Eastern Hemlock","Tsuga canadensis","Alabama","Franklin","Dismals Canyon","","","85 Acres
Registered Natural Landmark","","252494","1","","","","Private","108.0'","Clinometer/laser rangefinder/sine","","","","","Zack Stewart","2010-04-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D64%26t%3D1140%26sid%3D6d2a488ba7d5f4c1433f3c3bfbacc50f","N"
"Eastern Hemlock","Tsuga canadensis","Alabama","Lawrence","Sispey River Picnic Area","","","","","233689","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.6'","103''","","","Zack Stewart","2007-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fsipsey_river_picnic_area.htm","N"
"Eastern Hemlock","Tsuga canadensis","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242621","1","","","","Public - Nature Conservancy","109.3'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern Hemlock","Tsuga canadensis","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242622","1","","","","Public - Nature Conservancy","134.5'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern Hemlock","Tsuga canadensis","Connecticut","Litchfield","Catlin Woods","","","4000 acres and contains Catlin Woods.","","234231","1","","","","Private","","Clinometer/laser rangefinder/sine","9.9'","119''","","","Ernie Ostuno","2004-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fostuno%2Fconn%2Fconnecticut_sites.htm","N"
