"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227267","1","","","","Public - national","93.7'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227268","1","","","","Public - national","95.7'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227269","1","","","","Public - national","101.8'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227270","1","","","","Public - national","101.9'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227271","1","","","","Public - national","102.6'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227273","1","","","","Public - national","108.0'","Clinometer/laser rangefinder/sine","10.8'","129''","50.0'","Found at base of Hawksbill Mountain.","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","North Carolina","Burke","Linville Gorge Wilderness","","","11,786 acres","","227272","1","","","","Public - national","109.5'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Jess Riddle, Will Blozan, Michael Davie","2003-08-31","","N"
"Carolina Hemlock","Tsuga caroliniana","New York","Monroe","Highland Park","","","","","226025","1","","","","Public","62.2'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Carolina Hemlock","Tsuga caroliniana","New York","Monroe","Highland Park","","","","","226064","1","","","","Public","84.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Carolina Hemlock","Tsuga caroliniana","Ohio","Franklin","Ohio Single Tree Sites","41 13.392","-081 32.356","","","302714","1","41 13.392","-081 32.356","","Public, Private","59.8'","Clinometer/laser rangefinder/sine","3.0'","36''","","Measured by S. Galehouse 2/18/2013 on a North facing slope along Salt Run, Cuyahoga Valley National Park, Summit County.","Turner Sharp","2000-01-01","","N"
