"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Western Hemlock","Tsuga heterophylla","Alaska","Haines","Portage Cove State Recreational Site","","","","","75031","1","","","80.0 ft","Public - state park","81.4'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Western Hemlock","Tsuga heterophylla","Alaska","Juneau","Tongass National Forest-Douglas Island-Rain Forest Trail","","","","","75025","1","","","160.0 ft","Public - National Forest","94.1'","Clinometer/laser rangefinder/sine","5.7'","69''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Western Hemlock","Tsuga heterophylla","Alaska","Juneau","Tongass National Forest-Douglas Island-Rain Forest Trail","","","","","75026","1","","","160.0 ft","Public - National Forest","114.5'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Western Hemlock","Tsuga heterophylla","Alaska","Juneau","Tongass National Forest-Douglas Island-Rain Forest Trail","","","","","75024","1","","","160.0 ft","Public - National Forest","128.8'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Western Hemlock","Tsuga heterophylla","California","Humboldt","Redwood National Park","41 24.088","-124 02.852","Redwood National Park was created in 1968. It was formed to augment the holdings of three California State Parks. 
The state and national lands are managed jointly by the  California Department of Parks and Recreation and the National Park Service.  The three state parks are Jedediah Smith Redwoods State Park, Del Norte Coast Park and Prarie Creek Redwood State Park.","","269319","1","41 24.088","-124 02.852","","Public - federal","272.0'","Clinometer/laser rangefinder/sine","","","","Tree known as ""Tsunami""
Tree located in Prarie Creek Redwood State Park.","Mario Vaden, Michael Taylor","2011-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4819","N"
"Western Hemlock","Tsuga heterophylla","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281506","1","","","","Public - state","99.5'","Clinometer/laser rangefinder/sine","5.1'","61''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Western Hemlock","Tsuga heterophylla","Montana","Lincoln","Ross Creek Scenic Area Giant Cedars","48 12.424","-115 55.083","","","297911","1","48 12.424","-115 55.083","2900.0 ft","Public","140.4'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Elijah Whitcomb","2023-06-12","","N"
"Western Hemlock","Tsuga heterophylla","Montana","Lincoln","Ross Creek Scenic Area Giant Cedars","48 12.396","-115 55.139","","","297912","1","48 12.396","-115 55.139","2900.0 ft","Public","153.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-12","","N"
"Western Hemlock","Tsuga heterophylla","Montana","Lincoln","Ross Creek Scenic Area Giant Cedars","48 12.409","-115 55.094","","","297913","1","48 12.409","-115 55.094","2885.0 ft","Public","158.3'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Elijah Whitcomb","2023-06-12","","N"
"Western Hemlock","Tsuga heterophylla","Oregon","Hood River","Lost Lake Resort","45 28.942","-121 48.817","Mt. Hood National Forest","","318023","1","45 28.942","-121 48.817","3225.0 ft","Public","190.0'","Clinometer/laser rangefinder/sine","11.7'","140''","","","Elijah Whitcomb","2024-07-12","","N"
"Western Hemlock","Tsuga heterophylla","Oregon","Lane","Hardesty Mt. Trail","43 50.811","-122 39.805","Willamette National Forest","","318018","1","43 50.811","-122 39.805","1095.0 ft","Public","181.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-14","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Chelan","White Pine Creek Trail","47 46.033","-120 56.072","","","296944","1","47 46.033","-120 56.072","2890.0 ft","Public","150.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-13","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Chelan","White Pine Creek Trail","47 45.949","-120 56.157","","","296945","1","47 45.949","-120 56.157","2915.0 ft","Public","155.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-13","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Clallam","Bogachiel Rainforest River Trail","47 52.936","-124 15.100","","","296877","1","47 52.936","-124 15.100","310.0 ft","Public","210.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-16","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Clallam","Marymere Falls Trail","48 03.514","-123 47.743","","","296867","1","48 03.514","-123 47.743","615.0 ft","Public","170.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-16","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Cowlitz","Goat Marsh RNA","46 09.540","-122 17.364","","","296611","1","46 09.540","-122 17.364","2947.0 ft","Public (Forest Service)","184.7'","Clinometer/laser rangefinder/sine","16.3'","196''","","","Elijah Whitcomb","2023-06-15","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Cowlitz","Goat Marsh RNA","46 10.503","-122 16.606","","","296626","1","46 10.503","-122 16.606","3155.0 ft","Public (Forest Service)","204.0'","Clinometer/laser rangefinder/sine","14.1'","169''","","","Elijah Whitcomb","2023-06-15","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Cowlitz","Goat Marsh RNA","46 10.492","-122 16.627","","","296627","1","46 10.492","-122 16.627","3140.0 ft","Public (Forest Service)","206.6'","Clinometer/laser rangefinder/sine","13.8'","165''","","","Elijah Whitcomb","2023-06-15","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Grays Harbor","Quinault Rainforest Loop","47 27.897","-123 50.154","","","216279","1","47 27.897","-123 50.154","436.0 ft","Public","208.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Jefferson","Hoh Rainforest Visitor Center","","","","","216292","1","","","","Public","208.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Western Hemlock","Tsuga heterophylla","Washington","Jefferson","Hoh Rainforest Visitor Center","47 51.735","-123 55.841","","","216291","1","47 51.735","-123 55.841","631.0 ft","Public","224.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Western Hemlock","Tsuga heterophylla","Washington","Skamania","Cedar Flats Research Natural Area","46 06.626","-122 01.065","","","274351","1","46 06.626","-122 01.065","1355.0 ft","Public","212.8'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Elijah Whitcomb","2022-07-07","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Snohomish","Old Sauk River Trail","48 12.402","-121 32.402","","","274400","1","48 12.402","-121 32.402","630.0 ft","Public","159.0'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb","2022-07-05","","N"
"Western Hemlock","Tsuga heterophylla","Washington","Snohomish","Old Sauk River Trail","48 12.919","-121 33.543","","","274401","1","48 12.919","-121 33.543","545.0 ft","Public","177.3'","Clinometer/laser rangefinder/sine","9.1'","110''","","","Elijah Whitcomb","2022-07-05","","N"
