"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Winged Elm","Ulmus alata","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243129","1","","","","Public - federal","101.0'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Winged Elm","Ulmus alata","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243128","1","","","","Public - federal","112.7'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Winged Elm","Ulmus alata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234025","1","","","","Private","90.4'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Winged Elm","Ulmus alata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241710","1","","","","Private","106.3'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Winged Elm","Ulmus alata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241709","1","","","","Private","112.5'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Winged Elm","Ulmus alata","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233952","1","","","","Public - state","59.2'","Clinometer/laser rangefinder/sine","3.8'","46''","","Forestry Park","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Winged Elm","Ulmus alata","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241486","1","","","","Public - state","87.9'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Winged Elm","Ulmus alata","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241485","1","","","","Public - state","90.9'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Winged Elm","Ulmus alata","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241484","1","","","","Public - state","98.4'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Winged Elm","Ulmus alata","Georgia","Putnam","Rock Creek","","","","","234447","1","","","","Public - federal","109.0'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
