"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Elm","Ulmus americana","Alabama","Jackson","Walls Of Jericho","34 58.962","-086 05.519","","","315744","1","34 58.962","-086 05.519","1015.0 ft","Public","106.4'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2024-04-20","","N"
"American Elm","Ulmus americana","Alabama","Jackson","Walls Of Jericho","34 59.053","-086 05.523","","","315745","1","34 59.053","-086 05.523","840.0 ft","Public","118.3'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2024-04-20","","N"
"American Elm","Ulmus americana","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174802","1","","","","Public - federal","78.8'","Clinometer/laser rangefinder/sine","12.7'","152''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Elm","Ulmus americana","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174801","1","","","","Public - federal","91.2'","Clinometer/laser rangefinder/sine","8.8'","105''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Elm","Ulmus americana","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175047","1","","","","Public - federal","68.8'","Clinometer/laser rangefinder/sine","12.1'","145''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Elm","Ulmus americana","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175046","1","","","","Public - federal","92.9'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Elm","Ulmus americana","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128230","1","","","50.0 ft","Public - National Park","96.5'","Clinometer/laser rangefinder/sine","14.8'","177''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"American Elm","Ulmus americana","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128229","1","","","50.0 ft","Public - National Park","98.4'","Clinometer/laser rangefinder/sine","12.8'","153''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"American Elm","Ulmus americana","Delaware","New Castle","Rockwood Park","","","","","75457","1","","","","Public - County Park","82.6'","Clinometer/laser rangefinder/sine","12.9'","155''","","","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"American Elm","Ulmus americana","Georgia","Stephens","Panther Creek","34 40.125","-083 22.086","","","234525","2","34 40.125","-083 22.086","","Public - federal","133.0'","Clinometer/laser rangefinder/sine","11.7'","140''","","","Jess Riddle, Doug Riddle, Jess Riddle","2005-03-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Elm","Ulmus americana","Kentucky","Edmonson","Mammoth Cave National Park","37 14.410","-086 10.404","","","297381","1","37 14.410","-086 10.404","595.0 ft","Public","101.8'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2023-06-23","","N"
"American Elm","Ulmus americana","Kentucky","Edmonson","Mammoth Cave National Park","37 10.546","-086 09.024","","","297675","1","37 10.546","-086 09.024","435.0 ft","Public","104.5'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2023-06-23","","N"
"American Elm","Ulmus americana","Kentucky","Edmonson","Mammoth Cave National Park","37 13.691","-086 06.242","","","297485","1","37 13.691","-086 06.242","540.0 ft","Public","105.3'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Elijah Whitcomb","2023-06-23","","N"
"American Elm","Ulmus americana","Kentucky","Edmonson","Mammoth Cave National Park","37 11.356","-086 08.390","","","297676","1","37 11.356","-086 08.390","455.0 ft","Public","108.5'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2023-06-23","","N"
"American Elm","Ulmus americana","Kentucky","Edmonson","Mammoth Cave National Park","37 11.184","-086 05.755","","","297597","1","37 11.184","-086 05.755","585.0 ft","Public","120.6'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2023-06-23","","N"
"American Elm","Ulmus americana","Kentucky","Edmonson","Mammoth Cave National Park","37 13.640","-086 06.096","","","297486","1","37 13.640","-086 06.096","510.0 ft","Public","121.0'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Elijah Whitcomb","2023-06-23","","N"
"American Elm","Ulmus americana","Massachusetts","Franklin","Clark Ridge","","","","","236055","1","","","","Public - state","115.0'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Than(NLT)","John Eichholz","2004-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_clark_ridge.htm","N"
"American Elm","Ulmus americana","Massachusetts","Middlesex","Codman-North Conservation Area","","","16 Acres","","250926","1","","","","Public - city","100.3'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Jared Lockwood","2017-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D8095%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91","N"
"American Elm","Ulmus americana","Maryland","Anne Arundel","Chase Creek Woods","","","","","280935","1","","","","Private","63.4'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Colby Rucker","2003-07-01","","N"
"American Elm","Ulmus americana","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128089","1","","","","Public","95.3'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Colby Rucker","2002-04-08","","N"
"American Elm","Ulmus americana","Maryland","Baltimore City","Leakin Park","","","1,216 contiguous  Acres","","231442","1","","","","Public - city","125.9'","Clinometer/laser rangefinder/sine","","","","","George Fieo","2016-01-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8743%26sid%3Dbb55fa56e2402571f9c4b9568c9c097d","N"
"American Elm","Ulmus americana","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128430","1","","","","Public - State","73.4'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"American Elm","Ulmus americana","Missouri","Mississippi","Big Oak Tree State Park","","","","","171771","1","","","","Public","101.5'","Clinometer/laser rangefinder/sine","9.6'","115''","","Picnic area","Don Bragg","2005-07-29","","N"
"American Elm","Ulmus americana","Missouri","Mississippi","Big Oak Tree State Park","36 38.973","-089 18.078","","","283659","1","36 38.973","-089 18.078","310.0 ft","Public","119.0'","Clinometer/laser rangefinder/sine","10.7'","129''","","","Elijah Whitcomb","2022-11-26","","N"
"American Elm","Ulmus americana","Missouri","Mississippi","Big Oak Tree State Park","36 38.843","-089 18.180","","","283689","1","36 38.843","-089 18.180","280.0 ft","Public","122.0'","Clinometer/laser rangefinder/sine","15.5'","186''","","","Elijah Whitcomb","2022-11-26","","N"
"American Elm","Ulmus americana","Missouri","Saint Louis","Bellefontaine Cemetery","38 41.505","-090 14.035","","","171807","1","38 41.505","-090 14.035","","Private","99.1'","Clinometer/laser rangefinder/sine","17.0'","204''","131.0'","","Beth Koebel","2016-08-30","","N"
"American Elm","Ulmus americana","North Carolina","Forsyth","Tanglewood Park","","","Owned by Forsyth County.","","226733","1","","","","Public - county","119.8'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Jess Riddle","2007-01-06","hhttp%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Ftanglewood_park2","N"
"American Elm","Ulmus americana","North Carolina","Guilford","Owl's Roost Trail","","","","","40797","1","","","","Private, Trails Public","67.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2011-11-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D3321","N"
"American Elm","Ulmus americana","North Carolina","Henderson","Carl Sandburg Home National Historical Site","","","Carl Sandburg Home National Historical Site","","229404","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","13.8'","166''","","","James Parton","2008-01-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D911%26sid%3Da2220255d71bc8241b5bc342c81238c3","N"
"American Elm","Ulmus americana","North Carolina","Orange","Battle Park","","","","","252295","1","","","","Public - state","116.3'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2008-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4882%26sid%3D5d2aded422e4a23e509a9deed392150f","N"
"American Elm","Ulmus americana","North Carolina","Orange","Battle Park","","","","","252281","1","","","","Public - state","119.1'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2008-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4882%26sid%3D5d2aded422e4a23e509a9deed392150f","N"
"American Elm","Ulmus americana","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220692","1","","","","Private","","Clinometer/laser rangefinder/sine","9.9'","119''","","","Jess Riddle","2013-11-03","","N"
"American Elm","Ulmus americana","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220691","1","","","","Private","89.1'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-11-03","","N"
"American Elm","Ulmus americana","New York","Albany","New York Single Tree Sites","42 38.077","-073 44.970","","","263316","1","42 38.077","-073 44.970","","Public-Private","75.0'","Clinometer/laser rangefinder/sine","12.4'","149''","99.0'","Measured by Morgan 9/14/2019 at the Crailo State Historic Site at 9 1/2 Riverside Avenue, Rennselaer, Rennselaer County. Tre in front of house.","Various Various","2000-02-01","","N"
"American Elm","Ulmus americana","New York","Albany","New York Single Tree Sites","43 00.667","-074 22.352","","","263315","1","43 00.667","-074 22.352","","Public-Private","90.0'","Clinometer/laser rangefinder/sine","16.3'","196''","88.0'","Measured by Morgan 9/18/2013 near the intersection of Fulton and North Perry Streets in Fulton, Fulton, County,
Tree died 2016.","Various Various","2000-02-01","","N"
"American Elm","Ulmus americana","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280549","1","","","","Public - county","106.2'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","265452","1","","","","Public","9.0'","Clinometer/laser rangefinder/sine","","","","","Tom Diggins","2002-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","221808","1","","","","Public","96.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","257483","1","","","","Public","101.4'","Clinometer/laser rangefinder/sine","7.6'","91''","","On terrace below Valentine Flat.","Tom Diggins, Bruce Kershner, Bob Leverett","2003-11-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","257522","1","","","","Public","117.1'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Tom Diggins, Bruce Kershner, Bob Leverett","2003-11-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","257499","1","","","","Public","120.6'","Clinometer/laser rangefinder/sine","9.4'","113''","","On terrace across from Valentine Flat.","Tom Diggins, Bruce Kershner, Bob Leverett","2003-11-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","280001","1","","","","Public","120.6'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Tom Diggins","2005-05-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Cattaraugus","Zoar Valley","","","","","221826","1","","","","Public","127.2'","Clinometer/laser rangefinder/sine","10.7'","128''","100.0'","Crown spread is average of 10 spokes","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"American Elm","Ulmus americana","New York","Chautauqua","Canadaway Creek","","","","","262267","1","","","","Public - state","80.0'","Clinometer/laser rangefinder/sine","2.9'","35''","","","Erik Danielson","2019-01-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"American Elm","Ulmus americana","New York","Erie","Hunters Creek Gorge","","","Trees were measured on the Kenneglen Preserve owned by the Western New York Land Conservancy and the Emmerling property to be acquired.","","261624","1","","","","Public-Private","118.2'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Erik Danielson","2018-04-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8245%26sid%3D02519a8b9d7201e9827338c2482cb174","N"
"American Elm","Ulmus americana","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","259996","1","","","","Public - city","75.9'","Clinometer/laser rangefinder/sine","11.7'","140''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"American Elm","Ulmus americana","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","259999","1","","","","Public - city","81.3'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"American Elm","Ulmus americana","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260041","1","","","","Public - city","93.5'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"American Elm","Ulmus americana","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","259998","1","","","","Public - city","96.9'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"American Elm","Ulmus americana","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260040","1","","","","Public - city","116.8'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"American Elm","Ulmus americana","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260048","1","","","","Public - city","117.5'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"American Elm","Ulmus americana","New York","Onondaga","Beaver Lake Nature Center","","","","","213030","1","","","","Public","99.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2015-11-01","","N"
"American Elm","Ulmus americana","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265877","1","","","","Public - city","85.0'","Clinometer/laser rangefinder/sine","10.9'","131''","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"American Elm","Ulmus americana","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265876","1","","","","Public - city","106.2'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"American Elm","Ulmus americana","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265875","1","","","","Public - city","107.9'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"American Elm","Ulmus americana","New York","Richmond","Corson's Brook Woods","","","21 Acres","","258284","1","","","","Private","93.9'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7363%26sid%3D5a6e017133ea02fd52261a4e1e950e4e%23p38394","N"
"American Elm","Ulmus americana","New York","Richmond","Corson's Brook Woods","","","21 Acres","","258271","1","","","","Private","95.3'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Erik Danielson","2016-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7363%26sid%3D5a6e017133ea02fd52261a4e1e950e4e%23p38394","N"
"American Elm","Ulmus americana","New York","Richmond","Corson's Brook Woods","","","21 Acres","","258283","1","","","","Private","99.8'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7363%26sid%3D5a6e017133ea02fd52261a4e1e950e4e%23p38394","N"
"American Elm","Ulmus americana","New York","Richmond","The Greenbelt","","","","","260245","1","","","","Public - county","109.6'","Clinometer/laser rangefinder/sine","","","","High Rock Park","Erik Danielson","2016-02-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7541%26sid%3Ded2fa30b6553b50502468b82dfb9fe41","N"
"American Elm","Ulmus americana","New York","St. Lawrence","Gouveneur","","","","","256863","1","","","","Public-Private","55.5'","Clinometer/laser rangefinder/sine","2.9'","35''","","Species identification is uncertain.","Harold Stoner, Bradley Burns","2004-12-10","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fst_lawrence_county.htm","N"
"American Elm","Ulmus americana","New York","Tioga","Newark Valley","","","","","257952","1","","","","Private-public","108.0'","Clinometer/laser rangefinder/sine","13.0'","156''","106.0'","Located on Elm Street in village of Newark Valley.","Ed Nizalowski, Kevin Mathers","2005-07-31","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fnewark_valley.htm","N"
