"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Cedar Elm","Ulmus crassifolia","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241729","1","","","","Public - federal","95.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","Located near Jacks Bay Landing","Jess Riddle","2014-03-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Cedar Elm","Ulmus crassifolia","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241854","1","","","","Public - federal","101.2'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Cedar Elm","Ulmus crassifolia","Louisiana","Webster Parish","Lake Bistineau State Park","32 26.431","-093 22.577","","","320735","1","32 26.431","-093 22.577","215.0 ft","Public","61.8'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Elijah Whitcomb","2025-01-08","","N"
"Cedar Elm","Ulmus crassifolia","Mississippi","Warren","Vicksburg National Military Park","32 20.888","-090 50.819","","","320717","1","32 20.888","-090 50.819","200.0 ft","Public","88.8'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2025-01-07","","N"
"Cedar Elm","Ulmus crassifolia","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.790","-090 03.107","","","321889","1","35 22.790","-090 03.107","240.0 ft","Public","110.8'","Clinometer/laser rangefinder/sine","13.1'","157''","","","Elijah Whitcomb","2025-02-13","","N"
"Cedar Elm","Ulmus crassifolia","Tennessee","Shelby","Meeman-Shelby Forest State Park","","","","","321818","1","","","","Public","114.0'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Elijah Whitcomb","2025-02-13","","N"
"Cedar Elm","Ulmus crassifolia","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.573","-090 03.135","","","321890","1","35 22.573","-090 03.135","255.0 ft","Public","118.2'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2025-02-13","","N"
"Cedar Elm","Ulmus crassifolia","Tennessee","Shelby","Meerman-Shelby Forest State Park","","","12,539 aces of Mississippi River Floodplain and Loess Bluffs.,","","228990","1","","","","Public - state","99.3'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle","2006-06-02","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Ftennessee%2Fmeeman%2Fmeeman.htm","N"
"Cedar Elm","Ulmus crassifolia","Tennessee","Shelby","Meerman-Shelby Forest State Park","","","12,539 aces of Mississippi River Floodplain and Loess Bluffs.,","","228991","1","","","","Public - state","105.1'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Jess Riddle","2006-06-02","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Ftennessee%2Fmeeman%2Fmeeman.htm","N"
"Cedar Elm","Ulmus crassifolia","Tennessee","Shelby","Meerman-Shelby Forest State Park","","","12,539 aces of Mississippi River Floodplain and Loess Bluffs.,","","228992","1","","","","Public - state","106.8'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Jess Riddle","2006-06-02","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Ftennessee%2Fmeeman%2Fmeeman.htm","N"
