"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Siberian Elm","Ulmus pumila","Idaho","Ada","Idaho Single Tree Sites","45 45.592","-116 18.105","","","164216","1","45 45.592","-116 18.105","1600.0 ft","Public","71.9'","Clinometer/laser rangefinder/sine","11.3'","136''","","Measured 7/19/2018 by T. Sharp.
Tree located in White Bird Park, White Bird. Idaho County","Various Various","2010-08-23","","N"
"Siberian Elm","Ulmus pumila","New Mexico","Taos","Kit Carson Muncipal Park","","","Most trees measured were within the park boundaries.","","163892","1","","","7000.0 ft","Public","56.6'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Turner Sharp","2015-05-27","","N"
"Siberian Elm","Ulmus pumila","New York","Monroe","Durand Eastman Park","","","","","281805","1","","","","Public","98.2'","Clinometer/laser rangefinder/sine","12.0'","144''","","","Elijah Whitcomb","2020-10-05","","N"
"Siberian Elm","Ulmus pumila","Ohio","Wood","""Great Trees Of Ohio"" Will Blozan Trip.","","","","","10098","1","","","","Private","70.2'","","16.1'","193''","112.0'","","Will Blozan","2008-07-20","","N"
"Siberian Elm","Ulmus pumila","Utah","Salt Lake","Utah Single Tree Sites","38 32.927","-109 30.747","","","239654","1","38 32.927","-109 30.747","4300.0 ft","Public, Private","51.2'","Clinometer/laser rangefinder/sine","7.1'","85''","","Measured by T. Sharp, 7/28/2016. Tree located in Pack Creek Mobile Home Park, Moab, Grand County.","Various Various","2000-01-01","","N"
"Siberian Elm","Ulmus pumila","Utah","Salt Lake","Utah Single Tree Sites","38 32.938","-109 30.763","","","239655","1","38 32.938","-109 30.763","4300.0 ft","Public, Private","63.2'","Clinometer/laser rangefinder/sine","5.8'","69''","","Measured by T. Sharp, 7/28/2016. Tree located in Pack Creek Mobile Home Park, Moab, Grand County.
Tree is fused double stem at 4 1'2'. Measured girth of largest stem at 5 1/2'.","Various Various","2000-01-01","","N"
"Siberian Elm","Ulmus pumila","West Virginia","54 Counties","West Virginia Single Tree Sites","39 17.453","-077 51.769","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313143","1","39 17.453","-077 51.769","","Private & Publc","72.0'","Clinometer/laser rangefinder/sine","15.8'","189''","70.0'","Measured by T. Williamson, Q, Band 2018. Previously measured by J. Bowen 2010  Girth taken at 3 1/2' and 66.1' x 177"" x 80.5' Tree located at
Asbury Methodist Church in Charles Town, Jefferson County.. Crown spread is an average of the two axis method .Tree located Asbury Methodist Church in Charles Town, Jefferson County.","Various Various","1963-01-01","","N"
"Siberian Elm","Ulmus pumila","West Virginia","Kanawha","Spring Hill Cemetery Park","38 21.095","-081 36.932","On the National Register of Historic Places","","224352","1","38 21.095","-081 36.932","900.0 ft","Public -city","55.3'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2017-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D8210","N"
"Siberian Elm","Ulmus pumila","West Virginia","Wood","Quincy Hill Park","39 16.006","-081 33.144","","","298202","1","39 16.006","-081 33.144","740.0 ft","Public - city","58.9'","Clinometer/laser rangefinder/sine","","","","BR section
Tree is aprobable multistem.","Turner Sharp","2013-12-03","","N"
"Siberian Elm","Ulmus pumila","West Virginia","Wood","Wood County Historical Trees","39 16.630","-081 31.980","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315287","1","39 16.630","-081 31.980","","Public and Private","36.3'","Clinometer/laser rangefinder/sine","9.5'","114''","51.5'","Measured by T. Sharp 2019 on property of R. Summerfield at 2500 Liberty Street, Parkersburg, Wood County. Tree removed by Landowner 2022.","Turner Sharp","2000-01-01","","N"
"Siberian Elm","Ulmus pumila","West Virginia","Wood","Wood County Single Tree Sites","39 18.069","-081 32.569","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","314997","1","39 18.069","-081 32.569","","Public and private","54.7'","Clinometer/laser rangefinder/sine","7.1'","85''","53.0'","Measured  by T. Sharp 2012.
Tree behind main building of the Masonic Home.","Turner Sharp","2000-01-01","","N"
