"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Slippery Elm","Ulmus rubra","Delaware","New Castle","Brandywine Creek State Park","","","","","142914","1","","","","State","102.0'","Clinometer/laser rangefinder/sine","5.6'","67''","","","George Fieo","2011-01-09","","N"
"Slippery Elm","Ulmus rubra","Iowa","Clayton","Merritt Forest State Preserve","","","20 Acres","","233675","1","","","","Public - state","113.0'","Clinometer/laser rangefinder/sine","8.3'","99''","55.5'","","Mark Rouw","2012-01-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D80%26t%3D3697%26sid%3Dcf2621e212ab00aef5417c991313897f%23p15194","N"
"Slippery Elm","Ulmus rubra","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165573","1","","","560.0 ft","Public - Boone County Court","73.6'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Slippery Elm","Ulmus rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 12.737","-086 07.089","","","297494","1","37 12.737","-086 07.089","555.0 ft","Public","105.4'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb","2023-06-23","","N"
"Slippery Elm","Ulmus rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.665","-086 08.063","","","297598","1","37 10.665","-086 08.063","595.0 ft","Public","105.4'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Elijah Whitcomb","2023-06-23","","N"
"Slippery Elm","Ulmus rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.659","-086 09.907","","","297811","1","37 10.659","-086 09.907","560.0 ft","Public","106.4'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2023-06-23","","N"
"Slippery Elm","Ulmus rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 13.843","-086 03.186","","","297526","1","37 13.843","-086 03.186","635.0 ft","Public","107.1'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2023-06-23","","N"
"Slippery Elm","Ulmus rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.881","-086 07.584","","","297684","1","37 10.881","-086 07.584","595.0 ft","Public","114.7'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2023-06-23","","N"
"Slippery Elm","Ulmus rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.581","-086 06.693","","","297624","1","37 10.581","-086 06.693","520.0 ft","Public","118.1'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Elijah Whitcomb","2023-06-23","","N"
"Slippery Elm","Ulmus rubra","Maryland","Baltimore","Loch Raven Reservior","","","9,200 acres minus 3,100 acres of water at crest..
Supplies the City of Baltimore and Baltimore County with drinking water.","","231391","1","","","","Public - city","111.9'","Clinometer/laser rangefinder/sine","5.8'","70''","","","George Fieo","2015-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8746%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Slippery Elm","Ulmus rubra","Maryland","Baltimore City","Cylburn Arboretum","","","","","102900","1","","","400.0 ft","Public","74.5'","Clinometer/laser rangefinder/sine","8.3'","99''","","","Turner Sharp","2015-08-16","","N"
"Slippery Elm","Ulmus rubra","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232023","1","","","","Public - state","92.3'","Clinometer/laser rangefinder/sine","5.7'","68''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Slippery Elm","Ulmus rubra","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232024","1","","","","Public - state","100.8'","Clinometer/laser rangefinder/sine","3.8'","46''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Slippery Elm","Ulmus rubra","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232025","1","","","","Public - state","112.9'","Clinometer/laser rangefinder/sine","6.0'","72''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Slippery Elm","Ulmus rubra","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231821","1","","","","Public - state","104.3'","Clinometer/laser rangefinder/sine","6.7'","80''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Slippery Elm","Ulmus rubra","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231822","1","","","","Public - state","116.4'","Clinometer/laser rangefinder/sine","6.8'","82''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Slippery Elm","Ulmus rubra","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","231030","1","","","","Public - state park","106.1'","Clinometer/laser rangefinder/sine","8.5'","102''","","","George Fieo","2017-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"Slippery Elm","Ulmus rubra","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128391","1","","","","Public - State","79.0'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2010-01-24","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Slippery Elm","Ulmus rubra","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220693","1","","","","Private","82.1'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2013-11-03","","N"
