"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Blackhaw","Viburnum prunifolium","District of Columbia","District Of Columbia","Washington, D. C. Single Tree Sites","38 50.888","-076 59.352","","","76106","1","38 50.888","-076 59.352","","Various","","Clinometer/laser rangefinder/sine","4.8'","58''","","On the grounds of St. Elizabeth Hospital
Measured by Darian Copiz 9/01/2008
CBH should have been measured at smallest point below 4 1/2'","Various Various","2008-01-01","","N"
"Blackhaw","Viburnum prunifolium","Delaware","New Castle","Brandywine Creek State Park","","","","","142891","1","","","","State","30.3'","Clinometer/laser rangefinder/sine","1.2'","14''","","Within Tulip Tree Woods Preserve.","George Fieo","2011-01-09","","N"
"Blackhaw","Viburnum prunifolium","Delaware","New Castle","Rockwood Park","","","","","75460","1","","","","Public - County Park","29.4'","Clinometer/laser rangefinder/sine","3.5'","42''","","Circumference taken at 2 1/2'","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Blackhaw","Viburnum prunifolium","Maryland","Anne Arundel","Chase Creek Woods","","","","","280951","1","","","","Private","27.5'","Clinometer/laser rangefinder/sine","1.3'","16''","","","Colby Rucker","2003-07-01","","N"
"Blackhaw","Viburnum prunifolium","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128105","1","","","","Public","20.4'","Clinometer/laser rangefinder/sine","0.8'","9''","","","Colby Rucker","2002-04-08","","N"
"Blackhaw","Viburnum prunifolium","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168104","1","","","400.0 ft","Public - State","33.6'","Clinometer/laser rangefinder/sine","1.5'","17''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Blackhaw","Viburnum prunifolium","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128453","1","","","","Public - State","19.1'","Clinometer/laser rangefinder/sine","1.3'","15''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Blackhaw","Viburnum prunifolium","Pennsylvania","Chester","Laurels Preserve","","","Contains 500 acres of mature hardwood forest.","","212127","1","","","","Private","32.5'","Clinometer/laser rangefinder/sine","1.6'","19''","","Circumference taken at 1 1/2'","George Fieo","2019-06-15","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D151%26t%3D8642","N"
"Blackhaw","Viburnum prunifolium","Pennsylvania","Montgomery","Valley Forge National Historical Park","","","","","166279","1","","","200.0 ft","Public - federal","19.9'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Scott Wade","2005-04-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fvalley_forge%2Fvalley_forge_park.htm","N"
"Blackhaw","Viburnum prunifolium","Virginia","Bedford","Poplar Forest","","","","","48686","1","","","","Private - open to public","35.3'","Clinometer/laser rangefinder/sine","","","","","Will Blozan","2008-12-05","","N"
"Blackhaw","Viburnum prunifolium","West Virginia","54 Counties","West Virginia Historical Trees","37 45.538","-080 54.251","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312095","1","37 45.538","-080 54.251","","Public and Private","21.0'","Clinometer/laser rangefinder/sine","0.7'","8''","13.0'","Measured by W. Grafton 1975 below Sandstone Falls, near Sandstone, Raleigh County.  The site is part of the New River Gorge Park ans Preserve. Tree gone 1996.","Various Various","1963-01-01","","N"
"Blackhaw","Viburnum prunifolium","West Virginia","54 Counties","West Virginia Single Tree Sites","37 45.662","-080 53.994","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313175","1","37 45.662","-080 53.994","","Private & Publc","19.8'","Clinometer/laser rangefinder/sine","0.8'","10''","12.5'","Measured by A. Waldon 5/12/2015. Tree located near 
Sandstone Falls day use area, New River Gorge National River near Sandstone, Mercer County.
Crown spread is an average of the two-axis method..","Various Various","1963-01-01","","N"
