"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Grape","Vitis spp.","Georgia","Glynn","St. Simons Island","","","","","281436","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","4.8'","57''","","","Jess Riddle","2006-01-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fsouthern_red_cedar_tape.htm","N"
"Grape","Vitis spp.","North Carolina","Buncombe","Hominy Valley Overlook","","","Hominy Valley Overlook at Mile Post 404.
'Golden Grove""","","252145","1","","","","Public - federal","","","1.3'","16''","","","James Parton","2010-11-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1600%26sid%3D54ce2aad79a1af6421973bf0430fe82c","N"
"Grape","Vitis spp.","Pennsylvania","Clarion","CFSP-Various","","","","","281464","1","","","","Public-state","","Clinometer/laser rangefinder/sine","1.7'","20''","","","Dale Luthringer, Carl Harting","2001-12-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fdonut.htm","N"
"Grape","Vitis spp.","Pennsylvania","Crawford","Seneca Division-Erie National Wildlife Refuge","","","","","140084","1","","","","Public","","Clinometer/laser rangefinder/sine","1.5'","18''","","","Dale Luthringer, Brian Perry","2007-09-25","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Ferie_wildlife_refuge.htm","N"
"Grape","Vitis spp.","Pennsylvania","Erie","Gudgeonville And Upstream Of Route 98 Bridge","41 58.717","-080 15.761","","","120205","1","41 58.717","-080 15.761","","Private","","Clinometer/laser rangefinder/sine","2.5'","30''","","","Dale Luthringer","2009-11-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D148%26t%3D760%23p2369","N"
"Grape","Vitis spp.","Pennsylvania","Erie","Walnut Creek Gorge","","","See post of 3/18/2008 for trips on 12/28/2007, 12/31/2007.
See post of 9/9/2008 for trips on 3/28/2008, 4/4/2008.","","140105","1","","","","Private","","Clinometer/laser rangefinder/sine","1.2'","14''","","","Dale Luthringer","2008-03-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fwalnut_creek_pa_update.htm","N"
"Grape","Vitis spp.","Pennsylvania","Erie","Wintergreen Gorge","","","Trips were made 7/2/2003, 9/5/2003,10/10/2003,
11/3/2003,5/24/2004,10/15/2004","","120261","1","","","","Public","","Clinometer/laser rangefinder/sine","2.1'","25''","","","Dale Luthringer","2003-07-02","","N"
"Grape","Vitis spp.","Pennsylvania","Forest","Hemlock Island","","","","","173854","1","","","1080.0 ft","Public - federal","","Clinometer/laser rangefinder/sine","1.8'","22''","","","Dale Luthringer, Edward Frank","2008-07-16","","N"
"Grape","Vitis spp.","Pennsylvania","Warren","Crull's Island","","","","","139164","1","","","1160.0 ft","Public - National Forest","","Clinometer/laser rangefinder/sine","1.3'","16''","","","Dale Luthringer, Edward Frank, Carl Harting","2009-04-02","","N"
"Grape","Vitis spp.","Pennsylvania","Warren","Crull's Island","","","","","139165","1","","","1160.0 ft","Public - National Forest","","Clinometer/laser rangefinder/sine","1.4'","17''","","","Dale Luthringer, Edward Frank, Carl Harting","2009-04-02","","N"
