"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Grapevine Mesa","36 03.291","-114 04.000","This is a National Natural Landmark","","239529","1","36 03.291","-114 04.000","2800.0 ft","Public(BLM)","22.6'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Grapevine Mesa","","","This is a National Natural Landmark","","239527","1","","","2800.0 ft","Public(BLM)","23.0'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Grapevine Mesa","36 03.135","-114 03.962","This is a National Natural Landmark","","239526","1","36 03.135","-114 03.962","2800.0 ft","Public(BLM)","23.1'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Grapevine Mesa","","","This is a National Natural Landmark","","239530","1","","","2800.0 ft","Public(BLM)","26.7'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Grapevine Mesa","","","This is a National Natural Landmark","","239528","1","","","2800.0 ft","Public(BLM)","28.8'","Clinometer/laser rangefinder/sine","4.3'","51''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Indian Hill","35 47.580","-114 06.724","","","239615","1","35 47.580","-114 06.724","3000.0 ft","Private","16.6'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Turner Sharp","2014-07-02","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Indian Hill","35 47.432","-114 05.798","","","239618","1","35 47.432","-114 05.798","3100.0 ft","Private","17.1'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Turner Sharp","2014-07-02","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Indian Hill","35 47.580","-114 06.365","","","239616","1","35 47.580","-114 06.365","3100.0 ft","Private","18.4'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Turner Sharp","2014-07-02","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Mohave","Indian Hill","35 47.620","-114 06.877","","","239619","1","35 47.620","-114 06.877","3100.0 ft","Private","23.5'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Turner Sharp","2014-07-02","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Yavapai","Joshua Tree Forest Highway","","","","","239508","1","","","2600.0 ft","Public - State Highway","18.3'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Yavapai","Joshua Tree Forest Highway","","","","","239507","1","","","2600.0 ft","Public - State Highway","21.9'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Arizona","Yavapai","Joshua Tree Forest Highway","34 13.632","-113 04.198","","","239506","1","34 13.632","-113 04.198","2600.0 ft","Public - State Highway","22.5'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Turner Sharp","2012-03-09","","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239592","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.9'","107''","","Girth taken at 1.5'","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239593","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.4'","101''","","Girth taken at 1'","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239594","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.2'","98''","","Girth taken at 1.5'","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239595","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","6.6'","79''","","Girth taken at 2'","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239596","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","6.5'","78''","","Girth taken at 2'","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239591","1","","","","Public - federal","21.0'","Clinometer/laser rangefinder/sine","","","","","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239582","1","","","","Public - federal","21.5'","Clinometer/laser rangefinder/sine","","","","","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239583","1","","","","Public - federal","21.5'","Clinometer/laser rangefinder/sine","","","","","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"Jaeger's Joshua Tree","Yucca brevifolia var. jaegeriana","Nevada","Clark","South Of Las Vegas","","","","","239580","1","","","","Public - federal","22.0'","Clinometer/laser rangefinder/sine","","","","","Matt Markworth","2015-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6941%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
