"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Japanese Zelkova","Zelkova serrata","California","Butte","Bidwell Park","","","3,670 acres in Upper and Lower Bidwell Park","","274984","1","","","","Public - city","94.4'","Clinometer/laser rangefinder/sine","8.3'","100''","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Japanese Zelkova","Zelkova serrata","New York","Monroe","Highland Park","","","","","226096","1","","","","Public","29.7'","Clinometer/laser rangefinder/sine","2.2'","26''","","""Goshiki"" variety.  CBH at 1.5'","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Japanese Zelkova","Zelkova serrata","New York","Tompkins","Cornell Plantations/Beebe Lake Woods","","","","","280509","1","","","","Private:  Cornell University","58.9'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb","2015-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6655","N"
"Japanese Zelkova","Zelkova serrata","New York","Tompkins","Cornell Plantations/Beebe Lake Woods","42 26.996","-076 28.317","","","282325","1","42 26.996","-076 28.317","845.0 ft","Private:  Cornell University","67.3'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb, Tom Howard","2020-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6655","N"
"Japanese Zelkova","Zelkova serrata","Ohio","Washington","Marietta College Campus","39 25.073","-081 26.986","Trees were measured between 1/29/2020 and 2/9/2020","","272978","1","39 25.073","-081 26.986","","Private & Publc","34.4'","Clinometer/laser rangefinder/sine","5.8'","70''","","Circumference taken at 3 1/2'.
Tree has been trimmed.","Turner Sharp","2020-02-09","","N"
"Japanese Zelkova","Zelkova serrata","Ohio","Washington","Marietta College Campus","39 25.071","-081 26.987","Trees were measured between 1/29/2020 and 2/9/2020","","272977","1","39 25.071","-081 26.987","","Private & Publc","36.8'","Clinometer/laser rangefinder/sine","5.8'","69''","","Tree has been trimmed.","Turner Sharp","2020-02-09","","N"
"Japanese Zelkova","Zelkova serrata","Pennsylvania","Delaware","Delaware County Community Cpllege","","","","","131648","1","","","300.0 ft","Public- county","92.0'","Clinometer/laser rangefinder/sine","22.2'","266''","","","Scott Wade","2005-04-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fvalley_forge%2Fvalley_forge_park.htm","N"
"Japanese Zelkova","Zelkova serrata","West Virginia","Wood","City Park","","","","","271860","1","","","640.0 ft","City","30.1'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Turner Sharp, Sarah Friend","2014-01-04","","N"
"Japanese Zelkova","Zelkova serrata","West Virginia","Wood","Wood County Historical Trees","39 16.907","-081 32.822","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315247","1","39 16.907","-081 32.822","","Public and Private","58.8'","Clinometer/laser rangefinder/sine","12.7'","152''","75.0'","Measured by T. Sharp. 
Crown spread is an average of two-axis method.
Tree located at 925 24th Street at former Henry Logan Children Home.
Tree removed for new construction (motel) 6/2013","Turner Sharp","2000-01-01","","N"
"Japanese Zelkova","Zelkova serrata","West Virginia","Wood","Wood County Historical Trees","39 16.923","-081 32.812","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315246","1","39 16.923","-081 32.812","","Public and Private","66.1'","Clinometer/laser rangefinder/sine","10.9'","131''","58.5'","Girth taken at 3', crown spread is an average of two-axis method.
Tree located at 925 24th Street at former Henry Logan Children Home.
Tree removed for new construction (motel) 6/2013","Turner Sharp","2000-01-01","","N"
