"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Atlas Cedar","Cedrus atlantica","Fez-Meknes, Morocco","Province D’Ifrane","Ifrane National Park","33 25.174","-005 10.301","","","291900","1","33 25.174","-005 10.301","5400.0 ft","Public - federal","","Clinometer/laser rangefinder/sine","17.3'","208''","","In Middle Atlas Mountains","Turner Sharp","2018-10-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D46%26t%3D8434%26sid%3D80bcc49a5b97d0223f7e1815671f293d","N"
"Atlas Cedar","Cedrus atlantica","Fez-Meknes, Morocco","Province D’Ifrane","Ifrane National Park","33 25.225","-005 10.243","","","291899","1","33 25.225","-005 10.243","5400.0 ft","Public - federal","98.4'","Clinometer/laser rangefinder/sine","17.3'","207''","","In Middle Atlas Mountains","Turner Sharp","2018-10-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D46%26t%3D8434%26sid%3D80bcc49a5b97d0223f7e1815671f293d","N"
"Atlas Cedar","Cedrus atlantica","Fez-Meknes, Morocco","Province D’Ifrane","Ifrane National Park","33 25.160","-005 10.289","","","291901","1","33 25.160","-005 10.289","5400.0 ft","Public - federal","101.4'","Clinometer/laser rangefinder/sine","20.7'","248''","","In Middle Atlas Mountains","Turner Sharp","2018-10-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D46%26t%3D8434%26sid%3D80bcc49a5b97d0223f7e1815671f293d","N"
"Holly Oak","Quercus ilex","Fez-Meknes, Morocco","Province D’Ifrane","Ifrane National Park","33 25.156","-005 10.121","","","291902","1","33 25.156","-005 10.121","","Public - federal","32.2'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Turner Sharp","2018-10-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D46%26t%3D8434%26sid%3D80bcc49a5b97d0223f7e1815671f293d","N"
"Date Palm","Phoenix dactylifera","Fez-Meknes, Morocco","Province D'errachidia","Erfoud","31 25.721","-004 14.196","","","291331","1","31 25.721","-004 14.196","","Public-Private","40.9'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2018-09-20","","N"
"Date Palm","Phoenix dactylifera","Fez-Meknes, Morocco","Province D'errachidia","Erfoud","31 25.711","-004 14.180","","","291332","1","31 25.711","-004 14.180","","Public-Private","42.9'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2018-09-20","","N"
"Black Poplar","Populus nigra","Béni Mellal-Khénifra, Morocco","Azilal","Tabant","31 39.474","-006 25.273","","","291335","1","31 39.474","-006 25.273","5800.0 ft","Private","99.6'","Clinometer/laser rangefinder/sine","10.2'","122''","","Three Stork Nests in the crown.","Turner Sharp","2018-10-02","","N"
"English Walnut","Juglans regia","Béni Mellal-Khénifra, Morocco","Azilal","Tabant","31 39.454","-006 25.554","","","291336","1","31 39.454","-006 25.554","5800.0 ft","Private","38.3'","Clinometer/laser rangefinder/sine","4.7'","56''","","Circumference taken at 3'","Turner Sharp","2018-10-02","","N"
"Big Mountain Palm","Hedyscepe canterburyana","Marrakech-Safi, Morocco","Marrakesh","Jardine Majorelle-Yves Saint Laurent Mansion","","","","","291326","1","","","","Public-Private","22.5'","Clinometer/laser rangefinder/sine","","","","Native to Lord Howes Island, Australia.","Turner Sharp","2014-11-07","","N"
"Bismarck Palm","Bismarckia nobilis","Marrakech-Safi, Morocco","Marrakesh","Jardine Majorelle-Yves Saint Laurent Mansion","","","","","291325","1","","","","Public-Private","17.5'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2014-11-07","","N"
"Date Palm","Phoenix dactylifera","Marrakech-Safi, Morocco","Marrakesh","Jardine Majorelle-Yves Saint Laurent Mansion","","","","","291322","1","","","","Public-Private","58.6'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2014-11-07","","N"
